순위,도서명,저자,출판사,가격
1,트렌드 코리아 2026,"김난도, 전미영, 최지혜, 권정윤, 한다혜",미래의창,18000
2,처음 만나는 양자의 세계,채은미,북플레저,17100
3,대형주 추세추종 투자법칙,이종호(전황),사피엔테스,19800
4,위버멘쉬,프리드리히 니체,떠오름,16020
5,박곰희 연금 부자 수업,박곰희,인플루엔셜,18900
6,주식 투자의 뿌리,박두환,애덤스미스,19800
7,절창 切創,구병모,문학동네,16200
8,다크 심리학,다크 사이드 프로젝트,어센딩,19710
9,단 한 줄만 내 마음에 새긴다고 해도,나민애,포레스트북스,21420
10,어른의 행복은 조용하다,태수,페이지2북스,16020
11,머니 트렌드 2026,"김도윤, 정태익, 김광석, 김승주, 김용섭",북모먼트,23400
12,어스탐 경의 임사전언,이영도,황금가지,18000
13,호의에 대하여,문형배,김영사,16920
14,렛뎀 이론,멜 로빈스,비즈니스북스,18000
15,기분이 태도가 되지 않게 (헬로키티 에디션),레몬심리,갤리온,16200
16,혼모노,성해나,창비,16200
17,미야옹 마음 분식점 1 : 좀비 개가 나타나는 골목,주미 글/안병현 그림,지구별아이,13320
18,손자병법,손자,현대지성,11700
19,결국 너의 시간은 온다,염경엽,웅진지식하우스,17100
20,스토너,존 윌리엄스,알에이치코리아(RHK),15120
21,모순,양귀자,쓰다,11700
22,ETF 투자의 모든 것,문일호,매일경제신문사,18900
23,사이언스 2026,"내셔널지오그래픽 키즈 글/이한음, 김아림 역",비룡소,25200
24,그 비스크 돌은 사랑을 한다 15 한정판,후쿠다 신이치 글그림/박연지 역,소미미디어,25200
25,부자 아빠 투자 불변의 법칙,타짱,큰숲,18000
26,진돗개 두 마리와 네덜란드에서 살고 있습니다,박혜령,위즈덤하우스,16200
27,류수영의 평생 레시피,류수영,세미콜론,22500
28,달러 자산 1억으로 평생 월급 완성하라 (2026 투자 전략 특별판),채부심(채상욱),몽스북,18900
29,그 비스크 돌은 사랑을 한다 15,후쿠다 신이치 글그림/박연지 역,소미미디어,5400
30,사탄탱고,크러스너호르커이 라슬로,알마,17820
31,플스포의 메타인지 투자법,플스포(김동호),한국경제신문,19800
32,초역 부처의 말,코이케 류노스케,포레스트북스,16020
33,밤과 나침반,하와이 대,논픽션,17820
34,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS,YBM(와이비엠),17820
35,하루 한 장 나의 어휘력을 위한 필사 노트,유선경,위즈덤하우스,21420
36,영어책 한 권 외워봤니?,김민식,위즈덤하우스,18000
37,언폴드 (UNFOLD),김경주 글그림,후즈갓마이테일,18900
38,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,17820
39,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS,YBM(와이비엠),17820
40,어른의 품격을 채우는 100일 필사 노트,김종원,청림Life,18000
